"label","abbpop","Year","date","sex","svl","tot","mass","headlength","headwidth","GreenResolved","reg","reglength","blackness","BlueResolved","relhl"
"FU25","FU",2018,2018-04-08,"M",68,183,8.86,18.29,9.53,10,1,87,0.801103339572456,16.85,0.268970588235294
"FU26","FU",2018,2018-04-08,"F",53,152,3.14,11.96,6.08,8,1,71,0.504520795660036,5.56,0.225660377358491
"FU27","FU",2018,2018-04-08,"F",71,193,7.85,15.68,7.65,8,0,NA,0.675885992874555,10.5,0.220845070422535
"FU28","FU",2018,2018-04-08,"M",58,80,4.47,15.07,7.4,9,1,9,0.605016669312589,8.59,0.259827586206897
"FU29","FU",2018,2018-04-08,"F",70,100,5.65,14.48,6.46,9,1,16,0.462580348943985,4.75,0.206857142857143
"FU30","FU",2018,2018-04-08,"F",67,175,6,15.06,7.29,8,1,87,0.467279894875164,4.07,0.224776119402985
"FU31","FU",2018,2018-04-08,"M",55,163,4.65,14.59,6.58,9,1,50,0.751015555335381,4.26,0.265272727272727
"FU32","FU",2018,2018-04-08,"M",70,166,7.73,18.44,9.23,10,1,88,0.925780542303279,10.21,0.263428571428571
"FU33","FU",2018,2018-04-08,"M",60,178,6.7,16.49,8.39,10,1,74,0.694805956149607,5.61,0.274833333333333
"FU34","FU",2018,2018-04-08,"M",66,176,8.11,18.89,8.94,10,1,84,0.862666468637061,12.17,0.286212121212121
"FU35","FU",2018,2018-04-08,"F",66,185,5.51,14.43,6.95,9,1,12,0.631865704609041,13.63,0.218636363636364
"FU36","FU",2018,2018-04-08,"M",53,168,4,13.95,6.78,7,0,NA,0.520669659558548,3.69,0.263207547169811
"FX01","FX",2016,2016-04-18,"M",69,190,7.03,16.1,8.5,1,1,66,0.3353,NA,0.233333333333333
"FX03","FX",2016,2016-04-18,"F",63,172,5.81,13,6.6,1,0,NA,0.1642,NA,0.206349206349206
"FX04","FX",2016,2016-04-18,"F",61,157,4.55,12.6,6.1,1,1,58,0.0303,NA,0.20655737704918
"FX05","FX",2016,2016-04-18,"M",66,190,6.75,15.8,7.8,1,1,40,0.2449,NA,0.239393939393939
"GC01","GC",2013,2013-04-07,"F",58,128,5.3,12.28,6.68,9,1,63,0.53,NA,0.211724137931034
"GC02","GC",2013,2013-04-07,"M",58,183,5.38,15.27,7.51,8,0,NA,0.42,6.615,0.263275862068966
"GC03","GC",2013,2013-04-07,"M",65,169,7.84,17.23,8.63,10,1,81,0.4,13.987,0.265076923076923
"GC04","GC",2013,2013-04-07,"F",59,180,4.57,12.79,5.97,7,0,NA,0.26,0.656,0.216779661016949
"GC05","GC",2013,2013-04-07,"F",62,142,4.52,13.53,6.23,2,1,72,0.37,1.98,0.218225806451613
"GC06","GC",2013,2013-04-07,"M",64,165,6.83,17.21,8.79,10,1,89,0.37,5.018,0.26890625
"GC07","GC",2013,2013-04-07,"F",58,168,4.37,12.85,6.39,9,0,NA,0.41,7.23,0.221551724137931
"GC08","GC",2013,2013-04-07,"M",61,161,5.5,15.85,8.21,4,1,75,0.42,9.775,0.25983606557377
"GC09","GC",2013,2013-04-07,"M",61,158,5.53,15.5,7.99,8,1,60,0.4,12.36,0.254098360655738
"GC10","GC",2013,2013-04-07,"F",59,175,4.08,12.66,6.46,2,0,NA,0.32,2.04,0.214576271186441
"GC101","GC",2015,2015-04-08,"F",66,155,NA,13.5,6.9,9,1,72,NA,6.746,0.204545454545455
"GC102","GC",2015,2015-04-08,"F",66,168,NA,13.2,6.5,8,1,28,NA,5.256,0.2
"GC103","GC",2015,2015-04-08,"F",65,162,NA,13.3,6.6,9,1,58,NA,7.825,0.204615384615385
"GC104","GC",2015,2015-04-08,"F",57,116,NA,12,6,7,1,51,NA,2.41,0.210526315789474
"GC105","GC",2015,2015-04-08,"F",65,142,NA,13.4,6.5,6,1,65,NA,7.767,0.206153846153846
"GC106","GC",2015,2015-04-08,"F",63,138,NA,13.2,6.9,7,1,68,NA,3.04,0.20952380952381
"GC107","GC",2015,2015-04-08,"F",58,128,NA,12.1,6,9,1,63,NA,3.931,0.208620689655172
"GC108","GC",2015,2015-04-08,"F",57,166,NA,12.9,6.4,2,0,NA,NA,1.906,0.226315789473684
"GC109","GC",2015,2015-04-08,"F",55,136,NA,12.1,5.6,1,1,50,NA,2.935,0.22
"GC11","GC",2013,2013-04-07,"M",65,142,5.76,17.16,8.6,8,1,67,0.5,10.706,0.264
"GC110","GC",2015,2015-04-08,"F",65,194,NA,13,6.8,9,1,32,NA,1.643,0.2
"GC111","GC",2015,2015-04-08,"M",64,165,NA,15.6,7.5,8,1,84,NA,8.653,0.24375
"GC12","GC",2013,2013-04-07,"M",62,200,5.26,15.76,7.41,3,0,NA,0.58,11.65,0.254193548387097
"GC13","GC",2013,2013-04-07,"M",62,147,4.93,15.81,7.02,5,1,78,0.41,4.443,0.255
"GC14","GC",2013,2013-04-07,"M",64,155,6.13,16.29,7.52,8,1,79,0.53,14.796,0.25453125
"GC15","GC",2013,2013-04-07,"M",65,188,7.01,17,8.09,8,1,63,0.53,13.59,0.261538461538462
"GC16","GC",2013,2013-04-07,"F",64,140,5.15,13.96,7.19,1,1,63,0.46,3.218,0.218125
"GC17","GC",2013,2013-04-07,"F",57,143,4.03,12.7,6.57,4,1,56,0.34,0.661,0.22280701754386
"GC18","GC",2013,2013-04-07,"F",60,83,4.47,12.63,6.28,6,1,4,0.4,1.329,0.2105
"GC19","GC",2013,2013-04-07,"M",60,187,5.65,15.39,8.32,4,0,NA,0.41,7.042,0.2565
"GC20","GC",2013,2013-04-07,"F",60,135,5.07,13.37,7.23,1,1,56,0.09,6.865,0.222833333333333
"GC21","GC",2013,2013-04-07,"F",63,153,5.77,13.71,6.56,8,1,74,0.37,4.03,0.217619047619048
"GC22","GC",2013,2013-04-07,"F",60,165,4.67,13.45,6.61,1,0,NA,0.31,1.242,0.224166666666667
"GC23","GC",2013,2013-04-07,"F",55,127,3.46,12.86,6.25,8,1,65,0.4,4.239,0.233818181818182
"GC24","GC",2013,2013-04-07,"F",58,165,4.61,12.63,6.52,6,1,45,0.36,1.446,0.217758620689655
"GC25","GC",2013,2013-04-07,"F",56,131,3.34,11.92,5.76,2,1,63,0.04,3.6,0.212857142857143
"GC26","GC",2013,2013-04-07,"M",62,182,5.7,15.46,7.34,3,1,63,0.47,2.695,0.249354838709677
"GC27","GC",2013,2013-04-07,"M",60,168,5.34,15.41,7.36,9,1,63,0.48,8.148,0.256833333333333
"GC29","GC",2013,2013-04-07,"F",61,133,4.09,13.58,6.17,4,1,64,0.27,3.49,0.222622950819672
"GC30","GC",2013,2013-04-07,"F",60,158,4.5,12.84,6.58,2,1,57,0.36,3.98,0.214
"GC31","GC",2013,2013-04-07,"F",60,170,4.47,12.93,6.36,4,1,39,0.25,3.272,0.2155
"GC32","GC",2014,2014-04-06,"M",62,170,6.4,16.27,9.2,9,1,91,0.71,NA,0.26241935483871
"GC33","GC",2014,2014-04-06,"M",64,176,6.41,16.8,8.4,9,1,91,0.71,NA,0.2625
"GC34","GC",2014,2014-04-06,"M",61,158,5.1,15.06,7.85,7,1,82,0.59,NA,0.246885245901639
"GC35","GC",2014,2014-04-06,"M",50,152,3.23,12.3,5.8,4,0,NA,0.43,NA,0.246
"GC36","GC",2014,2014-04-06,"F",58,148,4.52,12.37,6.57,5,1,61,0.4,NA,0.213275862068966
"GC37","GC",2014,2014-04-06,"F",57,129,4.88,12.5,6.6,3,1,63,0.1,NA,0.219298245614035
"GC38","GC",2014,2014-04-06,"M",60,113,5.22,14.64,8.31,8,1,40,0.44,NA,0.244
"GC39","GC",2014,2014-04-06,"F",59,152,5.6,12.6,6.3,6,1,46,0.05,NA,0.213559322033898
"GC40","GC",2014,2014-04-06,"F",63,152,5.3,13.2,7.3,8,1,80,NA,NA,0.20952380952381
"GC41","GC",2014,2014-04-06,"F",58,158,4.37,12.1,6.1,3,1,64,0.48,NA,0.208620689655172
"GC42","GC",2014,2014-04-06,"M",65,166,7.32,16.6,8.6,9,1,78,0.55,NA,0.255384615384615
"GC43","GC",2014,2014-04-06,"F",58,144,4.62,12.4,6.1,6,1,61,0.27,NA,0.213793103448276
"GC44","GC",2014,2014-04-06,"M",63,199,6.53,16.2,8.2,9,0,NA,NA,NA,0.257142857142857
"GC45","GC",2014,2014-04-06,"F",63,128,4.97,13.5,6.3,4,1,53,0.31,NA,0.214285714285714
"GC46","GC",2014,2014-04-06,"M",62,179,5.56,16.06,8.01,6,1,72,NA,NA,0.259032258064516
"GC47","GC",2014,2014-04-06,"F",64,147,5.01,13.8,6.3,8,1,72,0.46,NA,0.215625
"GC48","GC",2014,2014-04-06,"F",65,160,6.51,13.55,7.54,10,1,69,0.37,NA,0.208461538461538
"GC49","GC",2014,2014-04-06,"M",65,203,8.26,17,8.7,7,1,63,0.56,NA,0.261538461538462
"GC50","GC",2014,2014-04-06,"F",58,156,4.79,12.91,6.61,5,1,38,0.42,NA,0.222586206896552
"GC51","GC",2014,2014-04-06,"F",62,176,5.57,13.4,6.2,6,0,NA,0.22,NA,0.216129032258065
"GC52","GC",2014,2014-04-06,"M",59,192,5.24,14.61,7.96,8,0,NA,NA,NA,0.247627118644068
"GC53","GC",2014,2014-04-06,"M",63,188,5.97,15.9,8,5,0,NA,0.62,NA,0.252380952380952
"GC54","GC",2014,2014-04-06,"F",60,116,4.71,13.68,6.92,9,1,47,0.42,NA,0.228
"GC55","GC",2014,2014-04-06,"M",63,176,6.45,16.8,7.3,8,1,99,0.6,NA,0.266666666666667
"GC56","GC",2014,2014-04-06,"M",65,191,6.7,15.76,8.5,8,1,85,NA,NA,0.242461538461538
"GC57","GC",2014,2014-04-06,"F",60,141,5,12.8,6.6,7,1,71,0.34,NA,0.213333333333333
"GC58","GC",2014,2014-04-06,"F",66,176,5.69,12.89,6.91,9,1,74,0.46,NA,0.19530303030303
"GN01","GN",2015,2015-04-01,"M",66,190,7.22,16.4,7.7,7,1,53,0.4,21.924,0.248484848484848
"GN02","GN",2015,2015-04-01,"M",68,190,8.1,16.5,7.9,9,1,45,0.28,11.13,0.242647058823529
"GN03","GN",2015,2015-04-01,"F",56,135,3.58,12.9,6.3,10,1,70,0.33,1.38,0.230357142857143
"GN04","GN",2015,2015-04-01,"F",63,176,4.65,12.9,6.5,8,1,81,0.13,2.61,0.204761904761905
"GN05","GN",2015,2015-04-01,"F",64,169,5.95,13.3,6.5,9,1,60,0.26,3.45,0.2078125
"GN06","GN",2015,2015-04-01,"F",55,157,3.21,12.2,5.6,4,0,NA,0.09,2.622,0.221818181818182
"GN07","GN",2015,2015-04-01,"M",55,173,3.75,13.4,6.5,9,0,NA,0.05,11.774,0.243636363636364
"GN08","GN",2015,2015-04-01,"M",61,190,5.35,15.5,7.5,7,0,NA,0.34,8.03,0.254098360655738
"GN09","GN",2015,2015-04-01,"M",61,175,4.65,14.5,6.9,6,0,NA,0.15,6.4,0.237704918032787
"GN10","GN",2015,2015-04-01,"F",64,143,5.5,13.5,6.5,10,1,67,0.06,3.659,0.2109375
"GN11","GN",2015,2015-04-01,"F",62,169,5.24,13.1,6.1,7,1,64,0.08,6.099,0.211290322580645
"GN12","GN",2015,2015-04-01,"F",55,170,3.76,12.3,5.8,3,0,NA,0.09,1.451,0.223636363636364
"GN13","GN",2015,2015-04-01,"F",65,167,4.91,13.5,6.2,9,1,85,0.15,2.6,0.207692307692308
"GN14","GN",2015,2015-04-01,"M",57,148,4.4,14.1,7.1,9,1,82,0.1,11.312,0.247368421052632
"GN15","GN",2015,2015-04-01,"F",62,181,5.5,13.1,6.4,10,0,NA,0.22,2.381,0.211290322580645
"GN16","GN",2015,2015-04-01,"M",67,175,7.78,16.4,7.9,10,1,89,0.06,11.911,0.244776119402985
"GN17","GN",2015,2015-04-01,"F",63,145,5.41,13.1,6.2,9,1,58,0.29,1.153,0.207936507936508
"GN18","GN",2015,2015-04-01,"M",59,210,6.32,NA,NA,3,0,NA,0.11,5.281,NA
"GN19","GN",2015,2015-04-01,"M",66,185,7.31,15.5,8.4,8,1,65,0.38,14.784,0.234848484848485
"GN20","GN",2015,2015-04-01,"M",63,179,7,15.8,8.4,4,1,53,0.16,12.679,0.250793650793651
"GN21","GN",2015,2015-04-01,"F",65,196,5.5,13.6,6,3,0,NA,0.05,4.893,0.209230769230769
"GN22","GN",2015,2015-04-01,"F",61,164,5.3,12.9,6.3,10,1,81,0.2,3.54,0.211475409836066
"GN23","GN",2015,2015-04-01,"M",65,183,6.82,16,8.3,7,1,82,0.35,10.072,0.246153846153846
"GN24","GN",2015,2015-04-01,"M",66,163,6.66,16.8,8.2,5,1,88,0.52,7.21,0.254545454545455
"GN25","GN",2015,2015-04-01,"M",63,190,7.5,16.9,8.3,10,1,113,0.47,18.312,0.268253968253968
"GN26","GN",2015,2015-04-01,"F",65,167,5.2,13,6.3,10,1,90,0.42,3.42,0.2
"GN27","GN",2015,2015-04-01,"F",62,128,5.4,13,6.6,10,1,52,0.27,5.91,0.209677419354839
"GO01","GO",2013,2013-03-23,"M",61,175,5.91,15.51,7.76,7,1,77,0.31,3.9,0.254262295081967
"GO02","GO",2013,2013-03-23,"F",56,143,3.6,12.49,6.1,2,1,70,0.14,NA,0.223035714285714
"GO04","GO",2013,2013-03-23,"M",56,170,4.13,13.23,6.06,2,0,NA,0.2,3.78,0.23625
"GO05","GO",2013,2013-03-23,"M",60,175,5.2,14.88,7.64,3,1,72,0.35,3.49,0.248
"GO06","GO",2013,2013-03-23,"F",56,125,3.37,12.68,6.04,2,1,58,0.31,2.14,0.226428571428571
"GO08","GO",2013,2013-03-23,"M",60,155,4.484,14.48,7.51,4,1,76,0.42,8.51,0.241333333333333
"GO10","GO",2013,2013-03-23,"M",54,154,4.39,13.97,6.95,3,1,88,0.33,6.87,0.258703703703704
"GO11","GO",2013,2013-03-23,"M",63,186,6.82,15.83,8.04,3,1,60,0.46,7.22,0.251269841269841
"GO12","GO",2013,2013-03-23,"M",60,168,5.54,15.42,7.39,6,1,100,0.39,3.99,0.257
"GO13","GO",2013,2013-03-23,"F",55,174,5.05,12.67,6.28,2,0,NA,0.04,3.21,0.230363636363636
"GO14","GO",2013,2013-03-23,"M",60,190,5.46,15.12,7.57,6,0,NA,0.51,5.68,0.252
"GO15","GO",2013,2013-03-23,"F",50,152,2.72,11.69,5.56,7,0,NA,0,1.34,0.2338
"GO16","GO",2013,2013-03-23,"F",56,158,4.44,12.75,6.04,1,1,54,0.05,3.42,0.227678571428571
"GO17","GO",2013,2013-03-23,"M",59,131,5.46,15.13,7.44,6,1,12,0.29,6.13,0.256440677966102
"GO18","GO",2013,2013-03-23,"F",52,70,3.48,12.12,6.15,1,1,NA,0.2,2.22,0.233076923076923
"GO19","GO",2013,2013-03-23,"F",57,144,3.98,12.65,6.32,1,1,66,0.23,2.02,0.221929824561404
"GO20","GO",2013,2013-03-23,"M",60,158,5.93,15.18,7.88,2,1,82,0.27,4.63,0.253
"GO21","GO",2013,2013-03-23,"M",58,147,5.5,15.18,7.98,4,1,80,0.47,4.9,0.261724137931034
"GO22","GO",2013,2013-03-23,"M",50,171,3.6,13.07,6.47,1,0,NA,0.13,4.47,0.2614
"GO23","GO",2013,2013-03-23,"M",59,140,5.55,15.22,7.59,9,1,72,0.52,10.14,0.257966101694915
"GO24","GO",2013,2013-03-23,"F",56,151,3.92,12.13,5.93,5,1,65,0.44,2.08,0.216607142857143
"GO26","GO",2013,2013-03-23,"F",53,162,3.07,11.71,5.84,2,0,NA,0.19,NA,0.220943396226415
"GO27","GO",2013,2013-03-23,"M",60,144,5.93,16.05,8.29,8,1,72,0.03,5.91,0.2675
"GO28","GO",2013,2013-03-23,"M",52,167,4.16,13.36,6.7,4,0,NA,0.2,4.08,0.256923076923077
"GO29","GO",2013,2013-03-23,"M",63,205,6.64,16.11,7.8,3,0,NA,0.55,NA,0.255714285714286
"GO30","GO",2013,2013-03-23,"F",56,164,4.99,12.48,6.12,3,0,NA,0.19,0.93,0.222857142857143
"GO31","GO",2013,2013-03-23,"F",55,158,3.74,12.16,5.42,1,1,58,0.11,3.02,0.221090909090909
"GR02","GR",2013,2013-03-21,"M",61,163,5.16,14.78,7.49,1,1,64,0.33,9.71,0.242295081967213
"GR03","GR",2013,2013-03-21,"F",59,180,5.03,12.59,6.49,4,0,NA,0.26,3.7,0.213389830508475
"GR04","GR",2013,2013-03-21,"M",59,180,5.72,14.75,7.57,7,0,NA,0.44,18.28,0.25
"GR06","GR",2013,2013-03-21,"M",55,147,3.6,13.58,6.57,4,1,68,0.23,9.15,0.246909090909091
"GR07","GR",2013,2013-03-21,"F",57,163,4.12,12.52,6.37,1,0,NA,0.01,1.27,0.219649122807018
"GR08","GR",2013,2013-03-21,"M",62,155,4.84,14.82,7.76,9,1,84,0.39,4.18,0.239032258064516
"GR09","GR",2013,2013-03-21,"M",53,157,3.92,13.09,6.34,1,0,NA,0.23,3.31,0.246981132075472
"GR10","GR",2013,2013-03-21,"M",60,151,5.07,15.05,7.22,4,1,78,0.22,7.47,0.250833333333333
"GR11","GR",2013,2013-03-21,"M",59,191,5.05,15.18,7.55,2,0,NA,0.43,11.09,0.25728813559322
"GR12","GR",2013,2013-03-21,"M",57,154,2.41,11.51,5.81,1,0,NA,0.01,NA,0.201929824561404
"GR13","GR",2013,2013-03-21,"M",66,168,5.97,16.93,7.87,3,0,NA,0.2,1.45,0.256515151515152
"GR14","GR",2013,2013-03-21,"M",64,202,8.62,16.47,8.67,3,0,NA,0.25,2.51,0.25734375
"GR15","GR",2013,2013-03-21,"M",65,189,7.38,17.72,8.7,4,1,76,0.31,21.95,0.272615384615385
"GR17","GR",2013,2013-03-21,"M",63,202,5.83,15.68,7.69,3,0,NA,0.31,14.92,0.248888888888889
"GR18","GR",2013,2013-03-21,"M",52,172,3.43,13.52,6.38,2,0,NA,0.21,16.33,0.26
"GR19","GR",2013,2013-03-21,"M",68,192,8.07,16.87,8.44,9,1,73,0.51,25.16,0.248088235294118
"GR20","GR",2013,2013-03-21,"M",52,148,3.58,13.31,5.99,2,1,65,0.01,6.54,0.255961538461538
"GR21","GR",2013,2013-03-21,"M",64,105,6.32,16.5,7.68,8,1,27,0.66,10.19,0.2578125
"GR22","GR",2013,2013-03-21,"M",51,90,4.19,14.29,7.01,1,1,4,0.13,6.94,0.280196078431373
"GR23","GR",2013,2013-03-21,"M",59,66,4.18,14.24,6.97,5,1,0,0.21,13.01,0.24135593220339
"GR24","GR",2013,2013-03-21,"M",61,196,6.4,16.48,7.92,9,0,NA,0.58,NA,0.270163934426229
"GR25","GR",2013,2013-03-21,"M",63,149,5.43,15.38,8,8,1,77,NA,NA,0.244126984126984
"GS01","GS",2019,2019-04-12,"M",55,168,4.54,13.63,7.43,5,0,NA,0.196719664150775,NA,0.247818181818182
"GS02","GS",2019,2019-04-12,"M",67,183,7.49,17.66,9.53,3,1,77,0.208776666137314,NA,0.263582089552239
"GS03","GS",2019,2019-04-12,"M",53,161,3.44,13.83,6.42,5,0,NA,0.270786767992848,NA,0.260943396226415
"GS04","GS",2019,2019-04-12,"M",71,84,6.6,17.82,8.66,6,1,3,0.293451995049213,NA,0.250985915492958
"GS05","GS",2019,2019-04-12,"F",62,78,5.22,13.77,7.16,4,1,1,0.164437640992588,NA,0.222096774193548
"GS07","GS",2019,2019-04-27,"M",54,170,4.76,14.11,7.57,3,0,NA,0.251981232504041,NA,0.261296296296296
"GS08","GS",2019,2019-04-27,"M",51,147,3.36,11.6,6.15,2,0,NA,0.02,NA,0.227450980392157
"GS09","GS",2019,2019-04-27,"F",64,163,7.17,13.74,7.51,8,1,54,0.154540998529515,NA,0.2146875
"GS10","GS",2019,2019-04-27,"F",53,155,4.03,12.06,6.2,4,0,NA,0.140828993365199,NA,0.227547169811321
"GS11","GS",2019,2019-04-27,"M",67,189,8.34,16.1,8.96,5,1,76,0.354407174354655,NA,0.240298507462687
"GS12","GS",2019,2019-04-27,"F",59,132,5.69,13.32,6.86,3,1,61,0.295562401132295,NA,0.225762711864407
"GS13","GS",2019,2019-04-27,"M",53,156,3.84,13.34,6.65,3,1,52,0.363997728563316,NA,0.251698113207547
"GS14","GS",2019,2019-04-27,"M",68,213,7.84,17.54,8.74,7,0,NA,0.243345493852182,NA,0.257941176470588
"GS15","GS",2019,2019-04-27,"M",65,193,7.24,16.89,7.82,8,0,NA,0.334230914588057,NA,0.259846153846154
"GS16","GS",2019,2019-04-27,"F",54,163,4.6,12.64,6.51,3,0,NA,0.0494783722774693,NA,0.234074074074074
"GS17","GS",2019,2019-04-27,"M",73,220,9.73,19.92,9.72,6,0,NA,0.425984692925145,NA,0.272876712328767
"GS18","GS",2019,2019-04-27,"F",67,197,6.82,14.66,6.84,5,0,NA,0.384058837598661,NA,0.218805970149254
"GS19","GS",2019,2019-04-27,"M",68,205,8.63,18.3,9.31,9,1,51,0.477331318339408,NA,0.269117647058824
"GS20","GS",2019,2019-04-27,"M",56,189,5.91,15.71,8.69,5,0,NA,0.514852293128774,NA,0.280535714285714
"GS21","GS",2019,2019-04-27,"F",67,175,6.17,14.84,7.06,8,1,52,0.124681079629381,NA,0.221492537313433
"GS22","GS",2019,2019-04-27,"M",70,167,8.16,18.31,8.93,9,1,89,0.481496037204428,NA,0.261571428571429
"IMM01","IMM",2018,2018-04-23,"M",66,161,6.93,17.04,8.5,2,1,76,0.102179088079106,6.512,0.258181818181818
"IMM02","IMM",2018,2018-04-23,"F",59,165,5.04,13.67,6.01,2,0,NA,0,0,0.231694915254237
"IMM03","IMM",2018,2018-04-23,"M",67,201,7.34,16.67,6.43,6,0,NA,0.273979287534566,22.158,0.248805970149254
"IMM04","IMM",2018,2018-04-23,"M",65,200,6.5,16.48,8.3,5,0,NA,0.240184155663655,17.052,0.253538461538462
"IMM05","IMM",2018,2018-04-23,"F",58,163,NA,13.52,6.66,1,0,NA,0.01,5.926,0.233103448275862
"IMM06","IMM",2018,2018-04-23,"M",64,168,5.09,15.33,7.95,2,1,73,0.39695067264574,11.535,0.23953125
"IMM07","IMM",2018,2018-04-23,"M",60,186,5,14.78,7.21,2,0,NA,0.191868530573045,0,0.246333333333333
"IMM08","IMM",2018,2018-04-23,"F",68,187,6.82,14.34,6.99,2,0,NA,0.179397642950677,1.001,0.210882352941176
"IMM09","IMM",2018,2018-04-23,"M",62,182,5.65,16.09,8.5,4,1,27,0.375082226022892,24.321,0.259516129032258
"IMM10","IMM",2018,2018-04-23,"M",63,187,6.14,15.42,7.93,5,0,NA,0.297286240283649,9.101,0.244761904761905
"IMM11","IMM",2018,2018-04-23,"M",65,197,6.62,16.7,8.31,2,1,55,0.412085042894442,23.407,0.256923076923077
"IMM12","IMM",2018,2018-04-23,"M",66,168,7.09,16.35,8.75,6,1,51,0.492021775858832,20.974,0.247727272727273
"IMM13","IMM",2018,2018-04-23,"M",65,204,6.76,16.72,8.37,9,0,NA,0.482724186139405,16.69,0.257230769230769
"IMM14","IMM",2018,2018-04-23,"M",61,200,5.62,16.48,8.27,2,0,NA,0.293468166339903,11.119,0.270163934426229
"IMM15","IMM",2018,2018-04-23,"F",56,137,4.11,12.36,6.68,1,1,49,0,0,0.220714285714286
"IMM16","IMM",2018,2018-04-23,"M",53,163,3.65,13.47,6.82,1,0,NA,0.01,NA,0.254150943396226
"IMM17","IMM",2018,2018-04-23,"M",60,74,4.58,15.11,7.83,2,1,0,0.0376186569787882,NA,0.251833333333333
"IMM18","IMM",2018,2018-04-23,"M",66,158,6.32,15.96,8.36,9,1,60,0.316381882289124,NA,0.241818181818182
"IMM19","IMM",2018,2018-04-23,"F",60,150,4.74,12.76,6.85,1,1,53,0.076990568107041,NA,0.212666666666667
"IMM20","IMM",2018,2018-04-23,"M",61,193,7.04,16.52,8.72,4,1,91,0.211915438821268,NA,0.270819672131148
"IMM21","IMM",2018,2018-04-23,"F",59,142,4.42,13.06,6.51,2,1,27,0,NA,0.22135593220339
"IMM22","IMM",2018,2018-04-23,"M",65,204,7,16.06,8.46,3,0,NA,0.303654562383613,NA,0.247076923076923
"IMM23","IMM",2018,2018-04-23,"F",60,140,5.44,13.62,7.12,4,1,57,0.119534249969033,NA,0.227
"IMM24","IMM",2018,2018-04-23,"F",64,132,5.06,13.81,6.82,7,1,57,0.126102169349195,NA,0.21578125
"IMM25","IMM",2018,2018-04-23,"F",63,159,6.26,14.32,6.46,7,1,73,0.245557995607906,NA,0.227301587301587
"IMM26","IMM",2018,2018-04-23,"M",57,181,4.96,15.02,7.31,3,0,NA,0.445957820738137,NA,0.263508771929825
"IMM27","IMM",2018,2018-04-24,"M",60,150,4.73,15.27,7.51,7,1,71,0.2680864390855,NA,0.2545
"IMM28","IMM",2018,2018-04-24,"F",64,157,4.54,12.86,6.72,8,1,76,0.00908718788374949,NA,0.2009375
"IMM29","IMM",2018,2018-04-24,"F",54,174,5.44,12.28,6.55,2,0,NA,0.232732576310032,NA,0.227407407407407
"IMM30","IMM",2018,2018-04-24,"F",64,147,6.51,14.16,7.14,2,1,82,0.125912812569152,NA,0.22125
"IMM31","IMM",2018,2018-04-24,"F",63,183,5.62,13.47,6.77,1,0,NA,0.305345863503312,NA,0.213809523809524
"IMM32","IMM",2018,2018-04-24,"F",65,163,5.61,13.58,6.08,4,0,NA,0.105385735080058,NA,0.208923076923077
"IS01","IS",2018,2018-04-14,"F",58,135,4.22,12.5,6.31,5,1,70,0.446961048449701,3.084,0.21551724137931
"IS02","IS",2018,2018-04-14,"F",63,167,4.91,13.31,6.5,1,1,54,0.0278570229904346,2.553,0.211269841269841
"IS03","IS",2018,2018-04-14,"F",56,152,4.42,12.37,5.88,2,1,7,0.02,6.331,0.220892857142857
"IS04","IS",2018,2018-04-14,"F",60,161,4.91,13.07,6.72,3,1,68,0.0489176412042797,0,0.217833333333333
"IS05","IS",2018,2018-04-14,"F",60,151,4.94,13.13,6.7,7,1,59,0.211500220945647,7.379,0.218833333333333
"IS06","IS",2018,2018-04-14,"F",58,123,5.22,12.43,5.94,1,1,0,0.233986928104575,5.255,0.214310344827586
"IS07","IS",2018,2018-04-14,"M",63,181,6.92,16.04,8.42,2,1,76,0.335522022838499,18.131,0.254603174603175
"IS08","IS",2018,2018-04-14,"M",59,180,5.38,14.76,7.15,2,1,50,0.458735222368174,0.897,0.250169491525424
"IS09","IS",2018,2018-04-14,"M",61,200,6.69,16.91,7.37,6,1,73,0.377200414195613,20.82,0.277213114754098
"IS10","IS",2018,2018-04-14,"M",63,167,6.18,16.66,7.76,9,1,92,0.643187898744598,24.554,0.264444444444444
"IS11","IS",2018,2018-04-14,"M",61,135,4.74,15.33,7.5,2,1,67,0.0615411848005664,13.324,0.251311475409836
"IS12","IS",2018,2018-04-14,"M",63,160,5.32,15.75,7.64,1,1,80,0.330849095394737,7.616,0.25
"IS13","IS",2018,2018-04-14,"M",63,180,7.12,16.75,8.07,7,1,78,0.494197662061637,32.592,0.265873015873016
"IS14","IS",2018,2018-04-14,"M",62,177,6.17,15.32,7.75,3,1,53,0.41167900227286,14.309,0.247096774193548
"IS15","IS",2018,2018-04-14,"M",70,198,8,16.68,8.61,2,1,64,0.307298972804199,23.082,0.238285714285714
"IS16","IS",2018,2018-04-14,"F",55,176,4.21,12.11,5.7,1,0,NA,0.0725542886193623,1.498,0.220181818181818
"IS17","IS",2018,2018-04-14,"M",63,185,6.43,15.67,8.37,3,1,68,0.464398678568918,10.938,0.248730158730159
"IS18","IS",2018,2018-04-14,"M",60,155,5.35,15.57,7.26,3,1,85,0.0417083460183534,7.353,0.2595
"IS19","IS",2018,2018-04-14,"M",68,198,8.5,17.26,8.85,8,1,83,0.416831683168317,11.279,0.253823529411765
"IS20","IS",2018,2018-04-14,"F",59,163,4.52,12.57,6.21,1,1,63,0.141463987780519,4.35,0.213050847457627
