"label","abbpop","Year","date","sex","svl","tot","mass","headlength","headwidth","GreenResolved","reg","reglength","blackness","BlueResolved","relhl"
"ASS19","ASS",2017,2017-04-09,"F",57,160,4.6,12.7,6.46,2,1,64,0.04,2.056,0.22280701754386
"ASS20","ASS",2017,2017-04-09,"F",57,151,4.99,12.85,6.55,2,1,58,0.34,5.929,0.225438596491228
"ASS21","ASS",2017,2017-04-09,"M",67,161,7.28,16.74,7.95,7,1,84,0.26,7.619,0.249850746268657
"ASS22","ASS",2017,2017-04-09,"M",67,155,6.58,16.77,8.16,8,1,75,0.31,12.433,0.250298507462687
"ASS23","ASS",2017,2017-04-09,"M",64,169,7.58,16.89,8.69,4,1,85,0.26,13.157,0.26390625
"ASS24","ASS",2017,2017-04-09,"F",59,152,4.84,12.75,6.48,1,0,NA,0.05,2.449,0.216101694915254
"ASS25","ASS",2017,2017-04-09,"M",71,87,6.58,17.62,8.97,8,1,0,0.58,17.504,0.248169014084507
"ASS26","ASS",2017,2017-04-09,"F",61,173,5.63,13.45,7.03,7,0,NA,0.43,8.667,0.220491803278689
"BC01","BC",2015,2015-04-07,"M",64,88,6.6,17.2,8.6,9,1,13,0.52,10.531,0.26875
"BC02","BC",2015,2015-04-07,"M",68,233,8.65,17.3,8,9,0,NA,0.69,11.197,0.254411764705882
"BC03","BC",2015,2015-04-07,"M",67,185,8.12,17,7.8,8,1,67,0.59,12.934,0.253731343283582
"BC04","BC",2015,2015-04-07,"M",63,185,7,16.8,8,9,1,94,0.84,8.248,0.266666666666667
"BC05","BC",2015,2015-04-07,"M",52,172,4.22,13.4,6.5,8,0,NA,0.6,5.926,0.257692307692308
"BC06","BC",2015,2015-04-07,"M",63,149,7.35,17.5,7.3,7,1,74,0.28,3.446,0.277777777777778
"BC07","BC",2015,2015-04-07,"M",61,195,6.11,15.7,7.4,8,0,NA,0.6,7.242,0.257377049180328
"BC09","BC",2015,2015-04-07,"F",59,185,5.12,12.5,6.1,9,0,NA,0.26,5.818,0.211864406779661
"BC10","BC",2015,2015-04-07,"F",59,101,3.98,12.2,6.2,8,1,23,0.27,4.176,0.206779661016949
"BC11","BC",2015,2015-04-07,"M",62,195,5.96,15.2,7.6,7,0,NA,0.19,8.564,0.245161290322581
"BC12","BC",2015,2015-04-07,"M",68,214,8.62,17.6,8.6,9,0,NA,0.77,7.496,0.258823529411765
"BC13","BC",2015,2015-04-07,"M",59,178,5.83,15.2,7.6,8,0,NA,0.59,4.015,0.257627118644068
"BC14","BC",2015,2015-04-07,"F",55,154,3.88,12.4,5.8,3,0,NA,0.07,1.21,0.225454545454545
"BC15","BC",2015,2015-04-07,"F",58,135,4.4,12.6,6.1,6,1,62,0.32,4.857,0.217241379310345
"BC16","BC",2015,2015-04-07,"M",64,197,8.3,16.6,8.5,7,1,34,0.59,12.214,0.259375
"BD01","BD",2014,2014-04-11,"M",67,209,7.45,16.2,8,2,0,NA,0.4,12.44,0.241791044776119
"BD02","BD",2014,2014-04-11,"M",63,176,6.45,15.8,8.1,8,1,77,0.22,16.34,0.250793650793651
"BD03","BD",2014,2014-04-11,"M",55,138,3.51,11.9,6,1,1,9,0,2.49,0.216363636363636
"BD04","BD",2014,2014-04-11,"F",63,181,5.86,12.6,6.6,1,0,NA,0.35,0.96,0.2
"BD05","BD",2014,2014-04-11,"M",61,170,6.01,15.1,7.6,1,1,71,0.22,7.35,0.247540983606557
"BD06","BD",2014,2014-04-11,"M",62,201,6.41,16.1,7.8,1,0,NA,0.19,6.51,0.259677419354839
