ID,abbpop
MOA12,MOA
MOA13,MOA
MOA14,MOA
MOA15,MOA
MOA19,MOA
MOA27,MOA
MP01,MP
MP02,MP
MP03,MP
MP04,MP
MP05,MP
MP06,MP
MP07,MP
MP08,MP
MP09,MP
MP10,MP
MP11,MP
MP12,MP
MP13,MP
MP14,MP
MV01,MV
MV02,MV
MV03,MV
MV04,MV
MV05,MV
MV06,MV
MV07,MV
MV08,MV
MV09,MV
MV12,MV
MV14,MV
MV15,MV
MV17,MV
MV19,MV
NL01,NL
NL16,NL
NL26,NL
NL31,NL
NL32,NL
NL33,NL
NL34,NL
NL35,NL
NL36,NL
NL37,NL
NL38,NL
NL39,NL
NL40,NL
NL41,NL
NO01,NO
NO02,NO
NO03,NO
NO04,NO
NO06,NO
NO07,NO
NO08,NO
NO09,NO
NO10,NO
NO11,NO
NO12,NO
NO13,NO
NO15,NO
NO19,NO
OV01,OV
OV02,OV
OV03,OV
OV04,OV
OV05,OV
OV06,OV
OV07,OV
OV08,OV
OV09,OV
OV10,OV
OV11,OV
OV12,OV
OV13,OV
OV14,OV
PA02,PA
PA04,PA
PA05,PA
PA07,PA
PA08,PA
PA09,PA
PA10,PA
PA11,PA
PA12,PA
PA15,PA
PA16,PA
PA17,PA
PA19,PA
PA25,PA
PR01,PR
PR02,PR
PR03,PR
PR04,PR
PR05,PR
PR06,PR
PR07,PR
PR08,PR
PR09,PR
PR10,PR
PR11,PR
PR12,PR
PR13,PR
PR14,PR
PS05,PS
PS06,PS
PS07,PS
PS10,PS
PS11,PS
PS12,PS
PS16,PS
PS17,PS
PS18,PS
PS19,PS
PS20,PS
PS21,PS
PS22,PS
PS23,PS
PSC03,PSC
PSC04,PSC
PSC05,PSC
PSC07,PSC
PSC09,PSC
PSC10,PSC
PSC12,PSC
PSC15,PSC
PSC16,PSC
PSC18,PSC
PSC21,PSC
PSC23,PSC
PSC24,PSC
PSC26,PSC
PT03,PT
PT04,PT
PT05,PT
PT08,PT
PT10,PT
PT12,PT
PT16,PT
PT19,PT
PT20,PT
PT22,PT
