baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genes
4555.969605,-1.002313112,0.295895476,-3.387389106,0.000705612,0.039396305,STAU1
1220.962854,1.222862734,0.356250735,3.43259007,0.000597845,0.034628255,LOC114599690
12.88158501,5.111819484,1.274661245,4.010335689,6.06E-05,0.007023881,EEF1A2
671.7448646,0.472938866,0.122328082,3.866151251,0.000110566,0.011274461,SRMS
894.0653012,-1.470152666,0.403655925,-3.64209361,0.00027043,0.020743906,LOC114599954
670.594423,-1.102563265,0.330711348,-3.33391422,0.000856331,0.044055753,LOC114599824
540.6189616,-0.857971943,0.229986632,-3.730529617,0.000191078,0.016433645,SNRPB
104.378561,-1.100652444,0.321872422,-3.419530127,0.000627294,0.03608847,PYCR3
984.6285312,0.453888804,0.131191656,3.459738351,0.000540701,0.032421088,DPY19L4
1872.420313,-0.668141114,0.156012276,-4.282618866,1.85E-05,0.002833662,TPD52
186.7680015,-3.236453567,0.352168557,-9.190069657,3.93E-20,1.34E-16,CA8
1203.371941,1.007432699,0.165535842,6.08588865,1.16E-09,6.82E-07,LOC114601328
854.0415642,-1.894079743,0.222175383,-8.525155762,1.53E-17,3.98E-14,ALKAL1
89.74610949,1.564330113,0.464197459,3.369966989,0.000751772,0.040770457,LOC114600635
123.2084043,-2.199177859,0.541568307,-4.060758046,4.89E-05,0.006035873,KLHL14
46.20895405,-1.14851974,0.341904948,-3.359178472,0.000781746,0.041864566,TMEM200C
163.9979031,-1.280753444,0.258464165,-4.955245706,7.22E-07,0.000183606,CXXC5
591.0694109,-0.696713372,0.209931208,-3.318769883,0.000904149,0.045823673,THBD
1473.073926,-0.612217707,0.149707485,-4.089426181,4.32E-05,0.005454851,SAE1
446.0448963,1.424508707,0.334235625,4.261989448,2.03E-05,0.003011341,LOC114603063
1183.950223,-0.54274889,0.162334161,-3.343405279,0.000827569,0.043229078,EML2
650.1938657,-0.750553006,0.196995878,-3.809993461,0.00013897,0.013370215,LOC114603155
1028.204634,-0.915834788,0.22038738,-4.15556819,3.24E-05,0.004283389,LOC114603162
664.2909496,-0.647307645,0.170505767,-3.796397365,0.000146814,0.013812693,DMPK
474.4084906,-0.654725457,0.1741659,-3.759205772,0.000170454,0.01535796,B3GNT8
209.4323794,1.283428954,0.335254981,3.828217411,0.000129075,0.012632261,NKPD1
23584.82492,-0.828115272,0.224225816,-3.693220021,0.000221432,0.018305838,APOE
115.3064482,2.797901405,0.577454743,4.845230622,1.26E-06,0.000307652,LOC114603409
3990.113986,0.875745498,0.22798266,3.841281157,0.000122394,0.01212887,LOC114603058
67.45754201,-1.848739598,0.521593647,-3.544405898,0.000393499,0.026730605,ATP4A
150.4412535,-1.003425892,0.271729646,-3.692736174,0.000221854,0.018305838,LOC114603557
197.9547362,-2.447211049,0.580423623,-4.216249913,2.48E-05,0.003495849,LOC114602429
258.135327,2.717323597,0.33441755,8.125541255,4.45E-16,6.89E-13,LOC114602895
678.8627388,0.9653521,0.213333528,4.525083842,6.04E-06,0.001147775,PTAFR
288.8764821,-1.770956475,0.280342671,-6.317113508,2.66E-10,2.16E-07,SDC3
329.0285529,0.98168136,0.225659393,4.350279183,1.36E-05,0.002202476,IFNLR1
91.96857652,-1.707636119,0.490575635,-3.480882453,0.000499765,0.030947252,ADGRB2
170.0394786,-2.31793545,0.375211774,-6.177672485,6.51E-10,4.35E-07,LOC114603012
2816.843733,-1.306940626,0.316020472,-4.135620134,3.54E-05,0.004566834,LOC114601797
5938.079197,0.470568733,0.091528467,5.141228184,2.73E-07,8.30E-05,FA2H
10.06927703,-2.770672105,0.834576526,-3.319853865,0.000900646,0.04578238,LOC114603096
30.06138631,-1.297174996,0.39150832,-3.313275684,0.0009221,0.04618367,NRN1L
278.856148,-1.461263219,0.321296623,-4.548019225,5.42E-06,0.001059971,PMFBP1
264.6840542,2.255253664,0.545985746,4.130609051,3.62E-05,0.004632444,TAS1R3
3972.005878,-4.037934086,0.439029716,-9.197404955,3.67E-20,1.34E-16,MMEL1
2529.372,0.788285078,0.217536063,3.623698381,0.00029042,0.021786637,DUSP2
13.80457682,1.983487494,0.527828637,3.757824707,0.000171397,0.015361671,LOC114602751
53.68849881,-1.226407658,0.37007005,-3.313987874,0.000919755,0.04618367,MFAP2
549.0074599,-1.847920327,0.446483337,-4.1388338,3.49E-05,0.004537718,PAX7
2041.649562,0.86643904,0.15880269,5.456072816,4.87E-08,1.93E-05,IFFO2
2250.32289,0.861922194,0.224397252,3.841055029,0.000122507,0.01212887,LOC114602869
25.11909797,-2.373725715,0.530243601,-4.476670175,7.58E-06,0.001418763,MSX1
616.7708753,0.764322057,0.227093376,3.365673055,0.000763572,0.04127892,TMEM128
1171.923912,-1.264330694,0.279467411,-4.524072027,6.07E-06,0.001147775,SEMA7A
180.2512433,-0.724331998,0.197519705,-3.667137903,0.000245281,0.019290513,LDB2
312.1119613,-0.943735011,0.261163953,-3.613573006,0.000302006,0.022556424,SOD3
735.260969,1.137410811,0.300069649,3.790489354,0.000150351,0.013861008,LOC114604413
309.9750156,1.187414678,0.311915853,3.806842991,0.000140752,0.013390316,SLC34A2
3758.899815,-0.938821882,0.270500377,-3.470686044,0.000519131,0.031905091,KIT
676.5339453,0.844162825,0.240520576,3.509732268,0.000448558,0.029154565,HPGD
54.60688688,-1.702508787,0.422087853,-4.033541295,5.49E-05,0.00654277,CPE
169.6667104,-2.39564893,0.621620662,-3.853875965,0.000116263,0.011714996,NPY2R
4041.858356,0.460319216,0.110736923,4.156872013,3.23E-05,0.004283389,PGRMC2
118.1710542,1.874747496,0.504615824,3.715197594,0.000203045,0.017288264,LOC114604195
399.1148106,0.988515294,0.280829136,3.519988382,0.000431566,0.028595846,ELOVL6
1263.469154,-0.847147845,0.212512872,-3.986336617,6.71E-05,0.007632908,PAPSS1
